Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Intensidad depresión;Total
Ambos sexos;Total;;TOTAL;100,00
Ambos sexos;Total;;Ninguna;87,27
Ambos sexos;Total;;Leve;8,46
Ambos sexos;Total;;Moderada;2,51
Ambos sexos;Total;;Moderadamente grave;1,19
Ambos sexos;Total;;Grave;0,58
Ambos sexos;Total;Andalucía;TOTAL;100,00
Ambos sexos;Total;Andalucía;Ninguna;90,75
Ambos sexos;Total;Andalucía;Leve;6,05
Ambos sexos;Total;Andalucía;Moderada;2,13
Ambos sexos;Total;Andalucía;Moderadamente grave;0,82
Ambos sexos;Total;Andalucía;Grave;0,25
Ambos sexos;Total;Aragón;TOTAL;100,00
Ambos sexos;Total;Aragón;Ninguna;86,26
Ambos sexos;Total;Aragón;Leve;9,68
Ambos sexos;Total;Aragón;Moderada;3,18
Ambos sexos;Total;Aragón;Moderadamente grave;0,52
Ambos sexos;Total;Aragón;Grave;0,37
Ambos sexos;Total;Asturias (Principado de);TOTAL;100,00
Ambos sexos;Total;Asturias (Principado de);Ninguna;90,29
Ambos sexos;Total;Asturias (Principado de);Leve;6,71
Ambos sexos;Total;Asturias (Principado de);Moderada;1,41
Ambos sexos;Total;Asturias (Principado de);Moderadamente grave;1,09
Ambos sexos;Total;Asturias (Principado de);Grave;0,50
Ambos sexos;Total;Balears (Illes);TOTAL;100,00
Ambos sexos;Total;Balears (Illes);Ninguna;92,96
Ambos sexos;Total;Balears (Illes);Leve;3,40
Ambos sexos;Total;Balears (Illes);Moderada;2,74
Ambos sexos;Total;Balears (Illes);Moderadamente grave;0,26
Ambos sexos;Total;Balears (Illes);Grave;0,65
Ambos sexos;Total;Canarias;TOTAL;100,00
Ambos sexos;Total;Canarias;Ninguna;89,03
Ambos sexos;Total;Canarias;Leve;7,64
Ambos sexos;Total;Canarias;Moderada;1,38
Ambos sexos;Total;Canarias;Moderadamente grave;0,87
Ambos sexos;Total;Canarias;Grave;1,07
Ambos sexos;Total;Cantabria;TOTAL;100,00
Ambos sexos;Total;Cantabria;Ninguna;94,87
Ambos sexos;Total;Cantabria;Leve;1,69
Ambos sexos;Total;Cantabria;Moderada;2,50
Ambos sexos;Total;Cantabria;Moderadamente grave;0,69
Ambos sexos;Total;Cantabria;Grave;0,25
Ambos sexos;Total;Castilla y León;TOTAL;100,00
Ambos sexos;Total;Castilla y León;Ninguna;79,15
Ambos sexos;Total;Castilla y León;Leve;13,51
Ambos sexos;Total;Castilla y León;Moderada;4,41
Ambos sexos;Total;Castilla y León;Moderadamente grave;2,27
Ambos sexos;Total;Castilla y León;Grave;0,66
Ambos sexos;Total;Castilla-La Mancha;TOTAL;100,00
Ambos sexos;Total;Castilla-La Mancha;Ninguna;91,81
Ambos sexos;Total;Castilla-La Mancha;Leve;5,78
Ambos sexos;Total;Castilla-La Mancha;Moderada;1,53
Ambos sexos;Total;Castilla-La Mancha;Moderadamente grave;0,56
Ambos sexos;Total;Castilla-La Mancha;Grave;0,32
Ambos sexos;Total;Cataluña;TOTAL;100,00
Ambos sexos;Total;Cataluña;Ninguna;87,19
Ambos sexos;Total;Cataluña;Leve;9,14
Ambos sexos;Total;Cataluña;Moderada;2,29
Ambos sexos;Total;Cataluña;Moderadamente grave;0,96
Ambos sexos;Total;Cataluña;Grave;0,43
Ambos sexos;Total;Comunitat Valenciana;TOTAL;100,00
Ambos sexos;Total;Comunitat Valenciana;Ninguna;82,69
Ambos sexos;Total;Comunitat Valenciana;Leve;10,52
Ambos sexos;Total;Comunitat Valenciana;Moderada;3,35
Ambos sexos;Total;Comunitat Valenciana;Moderadamente grave;2,38
Ambos sexos;Total;Comunitat Valenciana;Grave;1,06
Ambos sexos;Total;Extremadura;TOTAL;100,00
Ambos sexos;Total;Extremadura;Ninguna;88,94
Ambos sexos;Total;Extremadura;Leve;8,65
Ambos sexos;Total;Extremadura;Moderada;1,05
Ambos sexos;Total;Extremadura;Moderadamente grave;0,96
Ambos sexos;Total;Extremadura;Grave;0,40
Ambos sexos;Total;Galicia;TOTAL;100,00
Ambos sexos;Total;Galicia;Ninguna;85,21
Ambos sexos;Total;Galicia;Leve;9,69
Ambos sexos;Total;Galicia;Moderada;2,70
Ambos sexos;Total;Galicia;Moderadamente grave;1,34
Ambos sexos;Total;Galicia;Grave;1,06
Ambos sexos;Total;Madrid (Comunidad de);TOTAL;100,00
Ambos sexos;Total;Madrid (Comunidad de);Ninguna;87,36
Ambos sexos;Total;Madrid (Comunidad de);Leve;8,58
Ambos sexos;Total;Madrid (Comunidad de);Moderada;2,45
Ambos sexos;Total;Madrid (Comunidad de);Moderadamente grave;1,06
Ambos sexos;Total;Madrid (Comunidad de);Grave;0,55
Ambos sexos;Total;Murcia (Región de);TOTAL;100,00
Ambos sexos;Total;Murcia (Región de);Ninguna;85,51
Ambos sexos;Total;Murcia (Región de);Leve;9,29
Ambos sexos;Total;Murcia (Región de);Moderada;2,98
Ambos sexos;Total;Murcia (Región de);Moderadamente grave;1,40
Ambos sexos;Total;Murcia (Región de);Grave;0,81
Ambos sexos;Total;Navarra (Comunidad Foral de);TOTAL;100,00
Ambos sexos;Total;Navarra (Comunidad Foral de);Ninguna;88,40
Ambos sexos;Total;Navarra (Comunidad Foral de);Leve;7,25
Ambos sexos;Total;Navarra (Comunidad Foral de);Moderada;3,50
Ambos sexos;Total;Navarra (Comunidad Foral de);Moderadamente grave;0,68
Ambos sexos;Total;Navarra (Comunidad Foral de);Grave;0,18
Ambos sexos;Total;País Vasco;TOTAL;100,00
Ambos sexos;Total;País Vasco;Ninguna;83,69
Ambos sexos;Total;País Vasco;Leve;10,84
Ambos sexos;Total;País Vasco;Moderada;2,95
Ambos sexos;Total;País Vasco;Moderadamente grave;1,81
Ambos sexos;Total;País Vasco;Grave;0,70
Ambos sexos;Total;Rioja (La);TOTAL;100,00
Ambos sexos;Total;Rioja (La);Ninguna;87,96
Ambos sexos;Total;Rioja (La);Leve;7,90
Ambos sexos;Total;Rioja (La);Moderada;2,62
Ambos sexos;Total;Rioja (La);Moderadamente grave;1,07
Ambos sexos;Total;Rioja (La);Grave;0,46
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Ninguna;88,16
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Leve;9,00
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Moderada;1,51
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Moderadamente grave;0,89
Ambos sexos;Total;Ceuta (Ciudad Autónoma de);Grave;0,44
Ambos sexos;Total;Melilla (Ciudad Autónoma de);TOTAL;100,00
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Ninguna;88,42
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Leve;9,75
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Moderada;0,72
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Moderadamente grave;0,57
Ambos sexos;Total;Melilla (Ciudad Autónoma de);Grave;0,54
Hombres;Total;;TOTAL;100,00
Hombres;Total;;Ninguna;91,06
Hombres;Total;;Leve;6,28
Hombres;Total;;Moderada;1,70
Hombres;Total;;Moderadamente grave;0,70
Hombres;Total;;Grave;0,26
Hombres;Total;Andalucía;TOTAL;100,00
Hombres;Total;Andalucía;Ninguna;93,51
Hombres;Total;Andalucía;Leve;4,31
