Comunidades y Ciudades Autónomas;Sexo;Enfermedades;Total
Total Nacional;Total;Total;4.318,1
01 Andalucía;Total;Total;834,9
02 Aragón;Total;Total;117,7
03 Asturias, Principado de;Total;Total;105,6
04 Balears, Illes;Total;Total;90,6
05 Canarias;Total;Total;245,5
06 Cantabria;Total;Total;55,0
07 Castilla y León;Total;Total;226,0
08 Castilla - La Mancha;Total;Total;213,2
09 Cataluña;Total;Total;603,9
10 Comunitat Valenciana;Total;Total;490,6
11 Extremadura;Total;Total;110,6
12 Galicia;Total;Total;298,8
13 Madrid, Comunidad de;Total;Total;510,2
14 Murcia, Región de;Total;Total;153,7
15 Navarra, Comunidad Foral de;Total;Total;48,8
16 País Vasco;Total;Total;171,8
17 Rioja, La;Total;Total;27,3
18 Ceuta;Total;Total;5,1
19 Melilla;Total;Total;8,7
