Comunidades y Ciudades Autónomas;Edades;Sexo;Periodo;Total
Total nacional;Menos de 15 años;Total;2021;0,349
Total nacional;Menos de 15 años;Total;2020;0,206
Total nacional;Menos de 15 años;Total;2019;0,102
Total nacional;Menos de 15 años;Total;2018;0,101
Total nacional;Menos de 15 años;Hombres;2021;0,431
Total nacional;Menos de 15 años;Hombres;2020;0,199
Total nacional;Menos de 15 años;Hombres;2019;0,113
Total nacional;Menos de 15 años;Hombres;2018;0,112
Total nacional;Menos de 15 años;Mujeres;2021;0,262
Total nacional;Menos de 15 años;Mujeres;2020;0,212
Total nacional;Menos de 15 años;Mujeres;2019;0,09
Total nacional;Menos de 15 años;Mujeres;2018;0,089
Total nacional;De 15 a 29 años;Total;2021;4,304
Total nacional;De 15 a 29 años;Total;2020;4,091
Total nacional;De 15 a 29 años;Total;2019;4,284
Total nacional;De 15 a 29 años;Total;2018;3,788
Total nacional;De 15 a 29 años;Hombres;2021;6,298
Total nacional;De 15 a 29 años;Hombres;2020;6,046
Total nacional;De 15 a 29 años;Hombres;2019;6,375
Total nacional;De 15 a 29 años;Hombres;2018;5,628
Total nacional;De 15 a 29 años;Mujeres;2021;2,207
Total nacional;De 15 a 29 años;Mujeres;2020;2,039
Total nacional;De 15 a 29 años;Mujeres;2019;2,098
Total nacional;De 15 a 29 años;Mujeres;2018;1,874
Total nacional;De 30 a 39 años;Total;2021;6,965
Total nacional;De 30 a 39 años;Total;2020;6,822
Total nacional;De 30 a 39 años;Total;2019;6,695
Total nacional;De 30 a 39 años;Total;2018;6,262
Total nacional;De 30 a 39 años;Hombres;2021;10,571
Total nacional;De 30 a 39 años;Hombres;2020;10,42
Total nacional;De 30 a 39 años;Hombres;2019;10,206
Total nacional;De 30 a 39 años;Hombres;2018;9,783
Total nacional;De 30 a 39 años;Mujeres;2021;3,34
Total nacional;De 30 a 39 años;Mujeres;2020;3,244
Total nacional;De 30 a 39 años;Mujeres;2019;3,202
Total nacional;De 30 a 39 años;Mujeres;2018;2,748
Total nacional;De 40 a 44 años;Total;2021;9,177
Total nacional;De 40 a 44 años;Total;2020;9,131
Total nacional;De 40 a 44 años;Total;2019;8,617
Total nacional;De 40 a 44 años;Total;2018;7,925
Total nacional;De 40 a 44 años;Hombres;2021;14,384
Total nacional;De 40 a 44 años;Hombres;2020;13,948
Total nacional;De 40 a 44 años;Hombres;2019;13,127
Total nacional;De 40 a 44 años;Hombres;2018;11,724
Total nacional;De 40 a 44 años;Mujeres;2021;3,864
Total nacional;De 40 a 44 años;Mujeres;2020;4,259
Total nacional;De 40 a 44 años;Mujeres;2019;4,02
Total nacional;De 40 a 44 años;Mujeres;2018;4,027
Total nacional;De 45 a 49 años;Total;2021;11,027
Total nacional;De 45 a 49 años;Total;2020;10,14
Total nacional;De 45 a 49 años;Total;2019;10,117
Total nacional;De 45 a 49 años;Total;2018;10,378
Total nacional;De 45 a 49 años;Hombres;2021;15,827
Total nacional;De 45 a 49 años;Hombres;2020;15,286
Total nacional;De 45 a 49 años;Hombres;2019;15,977
Total nacional;De 45 a 49 años;Hombres;2018;15,585
Total nacional;De 45 a 49 años;Mujeres;2021;6,114
Total nacional;De 45 a 49 años;Mujeres;2020;4,906
Total nacional;De 45 a 49 años;Mujeres;2019;4,148
Total nacional;De 45 a 49 años;Mujeres;2018;5,067
Total nacional;De 50 a 54 años;Total;2021;12,365
Total nacional;De 50 a 54 años;Total;2020;11,945
Total nacional;De 50 a 54 años;Total;2019;11,25
Total nacional;De 50 a 54 años;Total;2018;10,433
Total nacional;De 50 a 54 años;Hombres;2021;17,358
Total nacional;De 50 a 54 años;Hombres;2020;17,571
Total nacional;De 50 a 54 años;Hombres;2019;16,518
Total nacional;De 50 a 54 años;Hombres;2018;15,536
Total nacional;De 50 a 54 años;Mujeres;2021;7,368
Total nacional;De 50 a 54 años;Mujeres;2020;6,34
Total nacional;De 50 a 54 años;Mujeres;2019;6,008
Total nacional;De 50 a 54 años;Mujeres;2018;5,355
Total nacional;De 55 a 59 años;Total;2021;11,77
Total nacional;De 55 a 59 años;Total;2020;12,184
